beneficiary_profile_key;Sexo;Rango Edad;Grupo Etnico;Presenta Discapacidad;Zona Ubicacion Beneficiario;Tipo de Beneficiario;Pais Nacimiento
248;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑA O NIÑO ENTRE LOS 7 MESES Y (2) DOS AÑOS DE EDAD;COLOMBIA
249;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑA O NIÑO ENTRE LOS 7 MESES Y (2) DOS AÑOS DE EDAD;COLOMBIA
250;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;AUSTRIA
251;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
252;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CROACIA
253;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;VIETNAM
254;I;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
255;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
256;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑAS Y NIÑOS MENORES DE 7 MESES;COLOMBIA
257;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ALBANIA
258;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑAS Y NIÑOS MENORES DE 7 MESES;COLOMBIA
259;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;CHILE
260;H;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑA O NIÑO DESDE LOS SIETE (7) MESES HASTA LOS DOS (2) AÑOS, ONCE (11) MESES Y VEINTINUEVE (29) DIAS;ARY MACEDONIA
261;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;VENEZUELA
