beneficiary_profile_key;Sexo;Rango Edad;Grupo Etnico;Presenta Discapacidad;Zona Ubicacion Beneficiario;Tipo de Beneficiario;Pais Nacimiento
354;M;9 - 13 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;VENEZUELA
355;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;SI;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PERU
356;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;MEXICO
357;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;PERU
358;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CANADA
359;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;ECUADOR
360;H;6 MESES - 5 AÑOS;INDÍGENA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESPAÑA
361;H;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
362;H;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;BRASIL
363;M;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
364;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;SI;RESTO;PERSONA GESTANTE;VENEZUELA
365;M;6 MESES - 5 AÑOS;INDÍGENA;SI;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
366;M;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑA O NIÑO DESDE LOS SIETE (7) MESES HASTA LOS DOS (2) AÑOS, ONCE (11) MESES Y VEINTINUEVE (29) DIAS;COLOMBIA
367;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;SI;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;BRASIL
368;H;0-6 MESES;INDÍGENA;NO;CABECERA;MENOR DE SEIS MESES;VENEZUELA
369;M;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;PERSONA GESTANTE;VENEZUELA
370;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑA O NIÑO HASTA LOS CUATRO (4) AÑOS, ONCE (11) MESES Y VEINTINUEVE (29) DIAS;COLOMBIA
371;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PARAGUAY
372;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ISRAEL
373;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;REPUBLICA DOMINICANA
374;H;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
375;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
376;M;0-6 MESES;AFROCOLOMBIANO (A);NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
377;M;MAYOR A 18 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;PERSONA GESTANTE;COLOMBIA
378;H;0-6 MESES;AFROCOLOMBIANO (A);NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
379;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ITALIA
380;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESPAÑA
381;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;SIN INFORMACIÓN;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
382;H;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
383;M;14 - 17 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;PERSONA GESTANTE;COLOMBIA
384;M;MAYOR A 18 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;PERSONA GESTANTE;VENEZUELA
385;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);SI;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
386;M;14 - 17 AÑOS;INDÍGENA;NO;RESTO;PERSONA GESTANTE;ECUADOR
387;H;0-6 MESES;INDÍGENA;SI;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
388;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ALEMANIA
389;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
390;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
391;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
392;M;6 MESES - 5 AÑOS;ROM/GITANO;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
393;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
394;M;14 - 17 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;PERSONA GESTANTE;COLOMBIA
395;M;MAYOR A 18 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;PERSONA GESTANTE;VENEZUELA
396;H;MAYOR A 18 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;PERSONA GESTANTE;COLOMBIA
397;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
398;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;COLOMBIA
399;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;COLOMBIA
400;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
401;M;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;COLOMBIA
402;H;0-6 MESES;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
403;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
404;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;COLOMBIA
405;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
406;H;0-6 MESES;COMUNIDAD NEGRA;NO;RESTO;MENOR DE SEIS MESES;COLOMBIA
407;M;6 MESES - 5 AÑOS;INDÍGENA;NO;SIN INFORMACIÓN;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
408;H;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
409;M;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PERU
410;M;9 - 13 AÑOS;INDÍGENA;NO;RESTO;PERSONA GESTANTE;COLOMBIA
411;M;0-6 MESES;INDÍGENA;SI;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
412;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
413;M;MAYOR A 18 AÑOS;COMUNIDAD NEGRA;NO;RESTO;PERSONA GESTANTE;COLOMBIA
414;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
415;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESPAÑA
416;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;GUATEMALA
417;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑA O NIÑO HASTA LOS CUATRO (4) AÑOS, ONCE (11) MESES Y VEINTINUEVE (29) DIAS;COLOMBIA
418;H;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑAS Y NIÑOS HASTA LOS CINCO (5) AÑOS, ONCE (11) MESES VEINTINUEVE (29) DAS;COLOMBIA
419;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ARGENTINA
420;H;0-6 MESES;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
421;M;0-6 MESES;COMUNIDAD NEGRA;NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
422;M;0-6 MESES;COMUNIDAD NEGRA;NO;RESTO;MENOR DE SEIS MESES;COLOMBIA
423;H;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;COLOMBIA
424;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
425;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ITALIA
426;H;0-6 MESES;COMUNIDAD NEGRA;NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
427;H;0-6 MESES;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
428;M;0-6 MESES;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
429;M;14 - 17 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;PERSONA GESTANTE;COLOMBIA
430;M;MAYOR A 18 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;PERSONA GESTANTE;COLOMBIA
431;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ALEMANIA
432;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESTADOS UNIDOS
433;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESPAÑA
434;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PANAMA
435;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
436;M;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
437;M;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
438;M;MAYOR A 18 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;PERSONA GESTANTE;VENEZUELA
439;M;0-6 MESES;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
440;M;0-6 MESES;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
441;H;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
442;M;0-6 MESES;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
443;M;14 - 17 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;PERSONA GESTANTE;VENEZUELA
444;M;MAYOR A 18 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;PERSONA GESTANTE;REPUBLICA DOMINICANA
445;M;14 - 17 AÑOS;COMUNIDAD NEGRA;NO;RESTO;PERSONA GESTANTE;COLOMBIA
446;H;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
447;H;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
448;M;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
449;H;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
450;M;14 - 17 AÑOS;COMUNIDAD NEGRA;NO;RESTO;PERSONA GESTANTE;VENEZUELA
451;M;MAYOR A 18 AÑOS;COMUNIDAD NEGRA;NO;RESTO;PERSONA GESTANTE;VENEZUELA
452;H;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;BRASIL
453;M;6 MESES - 5 AÑOS;COMUNIDAD NEGRA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
454;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;MEXICO
455;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COSTA RICA
456;M;6 MESES - 5 AÑOS;INDÍGENA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
457;M;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑAS Y NIÑOS HASTA LOS CINCO (5) AÑOS, ONCE (11) MESES VEINTINUEVE (29) DAS;COLOMBIA
458;H;0-6 MESES;INDÍGENA;NO;RESTO;NIÑAS Y NIÑOS HASTA LOS CINCO (5) AÑOS, ONCE (11) MESES VEINTINUEVE (29) DAS;COLOMBIA
459;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;SUECIA
460;M;6 MESES - 5 AÑOS;INDÍGENA;NO;CABECERA;NIÑAS Y NIÑOS HASTA LOS CINCO (5) AÑOS, ONCE (11) MESES VEINTINUEVE (29) DAS;COLOMBIA
461;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;MENOR DE SEIS MESES;CHILE
462;M;14 - 17 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;ECUADOR
463;H;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
464;M;0-6 MESES;INDÍGENA;SI;RESTO;MENOR DE SEIS MESES;COLOMBIA
465;M;0-6 MESES;AFROCOLOMBIANO (A);NO;RESTO;NIÑAS Y NIÑOS HASTA LOS CINCO (5) AÑOS, ONCE (11) MESES VEINTINUEVE (29) DAS;COLOMBIA
466;H;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;MEXICO
467;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
468;M;MAYOR A 18 AÑOS;AFROCOLOMBIANO (A);NO;SIN INFORMACIÓN;PERSONA GESTANTE;VENEZUELA
469;M;0-6 MESES;AFROCOLOMBIANO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CHILE
470;M;6 MESES - 5 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;REINO UNIDO
471;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CUBA
472;M;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑA O NIÑO ENTRE LOS 7 MESES Y (2) DOS AÑOS DE EDAD;COLOMBIA
473;H;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑA O NIÑO ENTRE LOS 7 MESES Y (2) DOS AÑOS DE EDAD;COLOMBIA
474;H;0-6 MESES;PALENQUERO (A);NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
475;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CUBA
476;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;CHILE
477;M;9 - 13 AÑOS;AFROCOLOMBIANO (A);NO;RESTO;PERSONA GESTANTE;COLOMBIA
478;H;0-6 MESES;RAIZAL;NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
479;M;0-6 MESES;RAIZAL;NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
480;H;6 MESES - 5 AÑOS;RAIZAL;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
481;M;0-6 MESES;RAIZAL;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
482;M;14 - 17 AÑOS;RAIZAL;NO;CABECERA;PERSONA GESTANTE;COLOMBIA
483;M;MAYOR A 18 AÑOS;RAIZAL;NO;CABECERA;PERSONA GESTANTE;COLOMBIA
484;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;SIN INFORMACIÓN;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
485;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PARAGUAY
486;M;14 - 17 AÑOS;INDÍGENA;NO;RESTO;PERSONA GESTANTE;VENEZUELA
487;M;0-6 MESES;INDÍGENA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
488;I;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
489;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;MENOR DE SEIS MESES;ECUADOR
490;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;EGIPTO
491;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
492;M;MAYOR A 18 AÑOS;INDÍGENA;NO;SIN INFORMACIÓN;PERSONA GESTANTE;COLOMBIA
493;M;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VENEZUELA
494;M;MAYOR A 18 AÑOS;INDÍGENA;NO;CABECERA;PERSONA GESTANTE;VENEZUELA
495;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VANUATU
496;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;SAN MARINO
497;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;AFGANISTAN
498;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PAISES BAJOS
499;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑA O NIÑO ENTRE LOS 7 MESES Y (2) DOS AÑOS DE EDAD;VENEZUELA
500;H;6 MESES - 5 AÑOS;INDÍGENA;NO;CABECERA;NIÑA O NIÑO ENTRE LOS 7 MESES Y (2) DOS AÑOS DE EDAD;COLOMBIA
501;H;6 MESES - 5 AÑOS;INDÍGENA;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PERU
502;M;6 MESES - 5 AÑOS;INDÍGENA;NO;CABECERA;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;COLOMBIA
503;M;6 MESES - 5 AÑOS;INDÍGENA;NO;RESTO;NIÑAS Y NIÑOS DEL RANGO DE 18 MESES A 4 AÑOS, 11 MESES Y 29 DIAS;COLOMBIA
504;M;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;ADULTOS ENTRE 40 Y 59;COLOMBIA
505;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;ADULTO MAYOR DE 60 AÑOS;COLOMBIA
506;H;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;ADULTOS DE 29 A 39 AÑOS;COLOMBIA
507;H;14 - 17 AÑOS;INDÍGENA;NO;RESTO;ADOLESCENTE;COLOMBIA
508;H;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;ADULTO MAYOR DE 60 AÑOS;COLOMBIA
509;H;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;JOVEN;COLOMBIA
510;M;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;ADULTO MAYOR DE 60 AÑOS;COLOMBIA
511;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PARAGUAY
512;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;ADULTOS DE 29 A 39 AÑOS;VENEZUELA
513;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;MEXICO
514;H;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;ADULTOS DE 29 A 39 AÑOS;VENEZUELA
515;M;MAYOR A 18 AÑOS;INDÍGENA;NO;RESTO;ADULTOS DE 29 A 39 AÑOS;VENEZUELA
516;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;ADULTOS ENTRE 40 Y 59;COLOMBIA
517;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;CUBA
