service_unit_key;Codigo Unidad Servicio;Unidad Servicio;Estado UDS
117;500100051433;CDI MICHINGOS;ACTIVA
118;500100051464;CDI CARAMELO;ACTIVA
119;500100051880;HOGAR CORAZONES ALEGRES;ACTIVA
120;500100052097;SANTO DOMINGO;ACTIVA
121;500100052690;MARIPOSITAS VOLADORAS;ACTIVA
122;500100052692;LOS PITUFITOS 6;ACTIVA
123;500100052693;MIS PEQUEÑOS ANGELITOS 1;ACTIVA
124;500100052735;HOGAR LOS PIMPOLLOS;ACTIVA
125;500100075831;LOS PINGUINOS;ACTIVA
126;1517600130877;CHIQUINQUIRA G1, G2, G3;ACTIVA
127;500100052748;HOGAR MANOS TRAVIESAS;ACTIVA
128;500100056378;LOS PITUFOS;ACTIVA
129;500100058643;REFUGIO DE AMOR;ACTIVA
130;500100058645;MANOS ABIERTAS;ACTIVA
131;500100058652;LOS MONACHITOS;ACTIVA
132;500100058654;LAS ESTRELLITAS;ACTIVA
133;500100058656;EL MUNDO DE LOS NIÑOS;ACTIVA
134;500100058664;LOS ANGELITOS;ACTIVA
135;500100058676;LOS CLAVELITOS;ACTIVA
136;500100058686;LOS GUSANITOS;ACTIVA
137;500100058701;SENDEROS DE LUZ;ACTIVA
138;500100058733;LOS AMISTOSITOS;ACTIVA
139;500100060949;CARRUSEL DE LA ALEGRIA;ACTIVA
140;500100063609;PINOCHITOS;ACTIVA
141;500100063619;FLORES TRIUNFADORAS;ACTIVA
142;4484700000603;MURRENAMANA;ACTIVA
143;4484700001912;MATUNALI;ACTIVA
144;500100064054;CARITAS LINDAS 2;ACTIVA
145;7077100076394;LOS CANARIOS;ACTIVA
146;500100064368;PEQUEÑOS TRAVIESOS 3;ACTIVA
147;500100066369;PIOLIN;ACTIVA
148;500100066382;GOTICAS DE AMOR;ACTIVA
149;500100066416;CARITAS ALEGRES 6;ACTIVA
150;51201151106;IE GUARUMO;ACTIVA
151;500100066434;EL JARDIN DE LOS NIÑOS;ACTIVA
152;4484700001300;KOUSHOTCHON;ACTIVA
153;6319000015587;CIRCASIA MIS HUELLITAS;ACTIVA
154;500100066439;FAMILIAS FELICES;ACTIVA
155;500100069082;CARITAS SUCIAS;ACTIVA
156;500100069114;MANITAS CREATIVAS;ACTIVA
157;500100069124;MANITAS INQUIETAS;ACTIVA
158;500100069215;CASITA DE AZUCAR;ACTIVA
159;500100069717;CARRUCELITOS;ACTIVA
160;500100069878;NUEVE LUNAS;ACTIVA
161;500100071383;LOS OSITOS;ACTIVA
162;500100071469;LOS MOROCHITOS;ACTIVA
163;500100072096;EL GUSANITO FELIZ;ACTIVA
164;500100075611;PEQUEÑOS GIGANTES;ACTIVA
165;860011139106;NUEVO AMANECER;ACTIVA
166;500100075628;EL JARDIN;ACTIVA
167;680771112033;MIS HUELLITAS;ACTIVA
168;448471160626;SEMILLITA;ACTIVA
169;4443000001567;PECHIMANA;ACTIVA
170;525201112979;MUJER E INFANCIA 5;ACTIVA
171;270771135670;PLAYA LINDA;ACTIVA
172;472881159035;MUNDO FELIZ;ACTIVA
173;500100075837;CORAZONCITOS INQUIETOS;ACTIVA
174;500100075846;LOS BULLICIOSOS;ACTIVA
175;500100075862;OSITOS CARIÑOSITOS;ACTIVA
176;500100075873;EMMANUEL;ACTIVA
177;500100075895;LOS CARPINTERITOS;ACTIVA
178;520900058447;VIRTUDES;ACTIVA
179;500100075904;SUEÑOS DEL NIÑO;ACTIVA
180;500100075909;MANITOS BRILLANTES;ACTIVA
181;500100075933;LOS PITUFOS 5;ACTIVA
182;500100075950;CARITAS LINDAS 1;ACTIVA
183;520900058453;REMINISCENCIAS;ACTIVA
184;500100076002;LOS MELOCITOS;ACTIVA
185;500100076032;LOS PITUFOS 2;ACTIVA
186;500100076052;LOS BULLICIOSOS 1;ACTIVA
187;500100076053;LOS TRAVIESOS;ACTIVA
188;500100076087;LOS ENANOS;ACTIVA
189;500100076129;LA ALEGRIA;ACTIVA
190;500100076132;EL AMOR;ACTIVA
