geography_key;Codigo Departamento UDS;Departamento UDS;Codigo Municipio UDS;Municipio UDS;Codigo CentroZonal UDS;Centro Zonal UDS
499;23;CÓRDOBA;23189;CIENAGA DE ORO;2302;CZ CERETE
500;23;CÓRDOBA;23300;COTORRA;2302;CZ CERETE
501;23;CÓRDOBA;23350;LA APARTADA;2305;CZ MONTELIBANO
502;23;CÓRDOBA;23417;LORICA;2306;CZ LORICA
503;23;CÓRDOBA;23419;LOS CORDOBAS;2301;CZ 1 MONTERIA
504;23;CÓRDOBA;23464;MOMIL;2306;CZ LORICA
505;23;CÓRDOBA;23500;MOÑITOS;2306;CZ LORICA
506;23;CÓRDOBA;23555;PLANETA RICA;2303;CZ PLANETARICA
507;23;CÓRDOBA;23570;PUEBLO NUEVO;2303;CZ PLANETARICA
508;23;CÓRDOBA;23574;PUERTO ESCONDIDO;2301;CZ 1 MONTERIA
509;23;CÓRDOBA;23580;PUERTO LIBERTADOR;2305;CZ MONTELIBANO
510;23;CÓRDOBA;23586;PURISIMA DE LA CONCEPCION;2306;CZ LORICA
511;23;CÓRDOBA;23660;SAHAGUN;2307;CZ SAHAGUN
512;23;CÓRDOBA;23670;SAN ANDRES DE SOTAVENTO;2308;CZ SAN ANDRES DE SOTAVENTO
513;23;CÓRDOBA;23672;SAN ANTERO;2306;CZ LORICA
514;23;CÓRDOBA;23675;SAN BERNARDO DEL VIENTO;2306;CZ LORICA
515;23;CÓRDOBA;23678;SAN CARLOS;2302;CZ CERETE
516;23;CÓRDOBA;23682;SAN JOSÉ DE URÉ;2305;CZ MONTELIBANO
517;23;CÓRDOBA;23686;SAN PELAYO;2302;CZ CERETE
518;23;CÓRDOBA;23807;TIERRALTA;2304;CZ TIERRALTA
519;23;CÓRDOBA;23815;TUCHÍN;2308;CZ SAN ANDRES DE SOTAVENTO
520;23;CÓRDOBA;23855;VALENCIA;2304;CZ TIERRALTA
521;25;CUNDINAMARCA;25001;AGUA DE DIOS;2510;CZ GIRARDOT
522;25;CUNDINAMARCA;25019;ALBAN;2506;CZ FACATATIVA
523;25;CUNDINAMARCA;25035;ANAPOIMA;2511;CZ LA MESA
524;25;CUNDINAMARCA;25040;ANOLAIMA;2506;CZ FACATATIVA
525;25;CUNDINAMARCA;25053;ARBELAEZ;2507;CZ FUSAGASUGA
526;25;CUNDINAMARCA;25086;BELTRAN;2513;CZ SAN JUAN DE RIOSECO
527;25;CUNDINAMARCA;25095;BITUIMA;2513;CZ SAN JUAN DE RIOSECO
528;25;CUNDINAMARCA;25099;BOJACA;2506;CZ FACATATIVA
529;25;CUNDINAMARCA;25120;CABRERA;2507;CZ FUSAGASUGA
530;25;CUNDINAMARCA;25123;CACHIPAY;2511;CZ LA MESA
531;25;CUNDINAMARCA;25126;CAJICA;2502;CZ ZIPAQUIRA
532;25;CUNDINAMARCA;25148;CAPARRAPI;2504;CZ PACHO
533;25;CUNDINAMARCA;25151;CAQUEZA;2508;CZ CAQUEZA
534;25;CUNDINAMARCA;25154;CARMEN DE CARUPA;2512;CZ UBATE
535;25;CUNDINAMARCA;25168;CHAGUANI;2513;CZ SAN JUAN DE RIOSECO
536;25;CUNDINAMARCA;25175;CHIA;2502;CZ ZIPAQUIRA
537;25;CUNDINAMARCA;25178;CHIPAQUE;2508;CZ CAQUEZA
538;25;CUNDINAMARCA;25181;CHOACHI;2508;CZ CAQUEZA
539;25;CUNDINAMARCA;25183;CHOCONTA;2503;CZ CHOCONTA
540;25;CUNDINAMARCA;25200;COGUA;2502;CZ ZIPAQUIRA
541;25;CUNDINAMARCA;25214;COTA;2502;CZ ZIPAQUIRA
542;25;CUNDINAMARCA;25224;CUCUNUBA;2512;CZ UBATE
543;25;CUNDINAMARCA;25245;EL COLEGIO;2511;CZ LA MESA
544;25;CUNDINAMARCA;25258;EL PEÑON;2504;CZ PACHO
545;25;CUNDINAMARCA;25260;EL ROSAL;2506;CZ FACATATIVA
546;25;CUNDINAMARCA;25269;FACATATIVA;2506;CZ FACATATIVA
547;25;CUNDINAMARCA;25279;FOMEQUE;2508;CZ CAQUEZA
548;25;CUNDINAMARCA;25281;FOSCA;2508;CZ CAQUEZA
549;25;CUNDINAMARCA;25286;FUNZA;2506;CZ FACATATIVA
550;25;CUNDINAMARCA;25288;FUQUENE;2512;CZ UBATE
551;25;CUNDINAMARCA;25295;GACHANCIPA;2502;CZ ZIPAQUIRA
552;25;CUNDINAMARCA;25297;GACHETA;2509;CZ GACHETA
553;25;CUNDINAMARCA;25299;GAMA;2509;CZ GACHETA
554;25;CUNDINAMARCA;25307;GIRARDOT;2510;CZ GIRARDOT
555;25;CUNDINAMARCA;25312;GRANADA;2507;CZ FUSAGASUGA
556;25;CUNDINAMARCA;25317;GUACHETA;2512;CZ UBATE
557;25;CUNDINAMARCA;25320;GUADUAS;2505;CZ VILLETA
558;25;CUNDINAMARCA;25322;GUASCA;2509;CZ GACHETA
559;25;CUNDINAMARCA;25324;GUATAQUI;2510;CZ GIRARDOT
560;25;CUNDINAMARCA;25326;GUATAVITA;2503;CZ CHOCONTA
561;25;CUNDINAMARCA;25328;GUAYABAL DE SIQUIMA;2506;CZ FACATATIVA
562;25;CUNDINAMARCA;25335;GUAYABETAL;2508;CZ CAQUEZA
563;25;CUNDINAMARCA;25339;GUTIERREZ;2508;CZ CAQUEZA
564;25;CUNDINAMARCA;25368;JERUSALEN;2510;CZ GIRARDOT
565;25;CUNDINAMARCA;25377;LA CALERA;2502;CZ ZIPAQUIRA
566;25;CUNDINAMARCA;25386;LA MESA;2511;CZ LA MESA
567;25;CUNDINAMARCA;25394;LA PALMA;2504;CZ PACHO
568;25;CUNDINAMARCA;25398;LA PEÑA;2505;CZ VILLETA
569;25;CUNDINAMARCA;25402;LA VEGA;2505;CZ VILLETA
570;25;CUNDINAMARCA;25407;LENGUAZAQUE;2512;CZ UBATE
571;25;CUNDINAMARCA;25426;MACHETA;2503;CZ CHOCONTA
572;25;CUNDINAMARCA;25430;MADRID;2506;CZ FACATATIVA
573;25;CUNDINAMARCA;25436;MANTA;2503;CZ CHOCONTA
574;25;CUNDINAMARCA;25438;MEDINA;2508;CZ CAQUEZA
575;25;CUNDINAMARCA;25473;MOSQUERA;2506;CZ FACATATIVA
